variant,alpha,bypass_thr,tech_lcs,tac_lcs,step_cov,order,viterbi_mic,faiss_mic
a0.5_bp0.75 (current),0.5,0.75,0.6833314285714286,0.7714285714285715,0.7071428571428572,0.6,0.7051792828685259,0.7848605577689243
a0.3_bp0.75,0.3,0.75,0.6595228571428572,0.7428571428571429,0.6928571428571428,0.5857142857142857,0.7649402390438247,0.7848605577689243
a0.2_bp0.75,0.2,0.75,0.6452371428571428,0.7571428571428571,0.6785714285714286,0.5714285714285714,0.7768924302788844,0.7848605577689243
a0.1_bp0.75,0.1,0.75,0.6547600000000001,0.7428571428571429,0.6785714285714286,0.5285714285714286,0.8007968127490039,0.7848605577689243
a0.05_bp0.75,0.05,0.75,0.6404742857142858,0.7285714285714285,0.6642857142857143,0.5428571428571428,0.7888446215139442,0.7848605577689243
a0.1_bp0.70,0.1,0.7,0.6547600000000001,0.7285714285714285,0.6785714285714286,0.5285714285714286,0.796812749003984,0.7848605577689243
a0.1_bp0.65,0.1,0.65,0.6404742857142858,0.7190485714285714,0.6642857142857143,0.5428571428571428,0.7848605577689243,0.7848605577689243
a0.2_bp0.70,0.2,0.7,0.6452371428571428,0.7285714285714285,0.6785714285714286,0.5285714285714286,0.7768924302788844,0.7848605577689243
a0.0_bpNone (FAISS only),0.0,,0.6547600000000001,0.7333342857142857,0.6785714285714286,0.5428571428571428,0.7888446215139442,0.7848605577689243
